AÑO,MES,CLIENTE,CODIGO,NOMBRE DE ARTICULO,UNIDAD / MEDIDA,CANTIDAD,VALOR UNITARIO,TOTAL DESCUENTO,VALOR TOTAL,# FACT.,CC,CAT1,CAT2,CAT3,CATEGORIA,DEPARTAMENTO,MUNICIPIOS,fecha_periodo,rango_ticket,mes_num
2025,Abril,4272458,50118,FIBRAMIX PELETIZADO X 10KG         ,BULTO          ,2,62000.0,0,124000,1,4272458,501,501,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,7125529,10833,FILPO ADULTO 30KG                  ,BULTO          ,3,100000.0,0,300000,2,7125529,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,7125529,50206,SUPERCAN CROQUETAS 30KG            ,BULTO          ,1,127000.0,0,127000,1,7125529,502,502,502,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,9518629,20305,CERDA GESTACION NARANJA            ,BULTO          ,2,86000.0,0,172000,1,9518629,203,203,203,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,9521951,10500,TERNERAS LEVANTE                   ,BULTO          ,15,90000.0,0,1350000,1,9521951,105,105,105,GANADERIA                               ,Bogota DC,Bogota,2025-Abril,>$1M,4
2025,Abril,9521951,10501,NOVILLONAS                         ,BULTO          ,15,80000.0,0,1200000,1,9521951,105,105,105,GANADERIA                               ,Bogota DC,Bogota,2025-Abril,>$1M,4
2025,Abril,9521951,10504,CONTELAC 14%                       ,BULTO          ,40,73000.0,0,2920000,1,9521951,105,105,105,GANADERIA                               ,Bogota DC,Bogota,2025-Abril,>$1M,4
2025,Abril,9521951,10833,FILPO ADULTO 30KG                  ,BULTO          ,5,105000.0,0,525000,1,9521951,108,108,108,MASCOTAS                                ,Bogota DC,Bogota,2025-Abril,$500K-$1M,4
2025,Abril,9527933,10818,RINGO CACHORROS 2K*5               ,BOLSA          ,1,22000.0,0,22000,1,9527933,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,9527933,10829,RINGO CROQUETAS 30KG               ,BULTO          ,1,10000.0,0,10000,1,9527933,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,9527933,10831,FILPO ADULTO 10KG                  ,BULTO          ,1,61000.0,0,61000,1,9527933,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,9527933,50201,RAZA PERROS 30KG                   ,BULTO          ,6,102166.67,0,613000,4,9527933,502,502,502,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$500K-$1M,4
2025,Abril,9527933,50207,SUPERCAN CROQUETAS 4K*5            ,BOLSA          ,1,22000.0,0,22000,1,9527933,502,502,502,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,9531884,10829,RINGO CROQUETAS 30KG               ,BULTO          ,1,125000.0,0,125000,1,9531884,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,10101,MAXI POLLITOS H.                   ,BULTO          ,10,104000.0,0,1040000,1,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10103,MAXI POLLITOS C.                   ,BULTO          ,86,104441.86,0,8982000,10,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10107,MAXI BROILER C.                    ,BULTO          ,1,100000.0,0,100000,1,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,10108,MAXI BROILER P                     ,BULTO          ,87,109379.31,0,9516000,13,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10109,MAXI BROILER PIGMENTO C            ,BULTO          ,194,113623.71,0,22043000,8,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10111,BROILER P 1K*20                    ,BOLSA          ,5,2800.0,0,14000,1,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,10112,BROILER P                          ,BULTO          ,90,99955.56,0,8996000,14,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10113,POLLO CAMPESINO C 1K*20            ,BOLSA          ,2,2800.0,0,5600,1,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,10114,POLLO CAMPESINO C                  ,BULTO          ,1,88000.0,0,88000,1,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,10118,POLLAS                             ,BULTO          ,2,89000.0,0,178000,1,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,10120,MAXI HUEVO H                       ,BULTO          ,45,87000.0,0,3915000,10,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10121,MAXI HUEVO C                       ,BULTO          ,106,87500.0,0,9275000,22,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10123,PONEDORA EXTRA I C                 ,BULTO          ,243,85979.42,0,20893000,17,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10133,CODORNICES CONTEGRAL               ,BULTO          ,11,95000.0,0,1045000,3,22222222,101,101,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10201,PREINICIACION CERDOS               ,BULTO          ,2,152000.0,0,304000,2,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,22222222,10202,INICIACION CERDOS                  ,BULTO          ,24,101875.0,0,2445000,4,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10203,MAXI LECHONES   R                  ,BULTO          ,25,98000.0,0,2450000,1,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10204,MAXI LECHONES                      ,BULTO          ,12,98000.0,0,1176000,11,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10205,CERDOS LEVANTE                     ,BULTO          ,11,87000.0,0,957000,8,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,$500K-$1M,4
2025,Abril,22222222,10207,MAXI CERDOS FINALIZADOR            ,BULTO          ,38,96394.74,0,3663000,5,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10209,CERDOS ENGORDE                     ,BULTO          ,6,75000.0,0,450000,2,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,22222222,10211,MAXI CERDAS GESTACION   R          ,BULTO          ,22,89000.0,0,1958000,1,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10212,MAXI CERDAS GESTACION              ,BULTO          ,28,80642.86,0,2258000,13,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10214,MAXI CERDAS LACTANCIA              ,BULTO          ,8,91625.0,0,733000,6,22222222,102,102,102,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,$500K-$1M,4
2025,Abril,22222222,10301,"MAXI PECES 32 2,5 E                ",BULTO          ,3,134333.33,0,403000,3,22222222,103,103,103,ACUACULTURA                             ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,22222222,10303,PECES 25                           ,BULTO          ,2,117500.0,0,235000,2,22222222,103,103,103,ACUACULTURA                             ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,10305,"MAXI TRUCHAS 45 SP 3,5 E           ",BULTO          ,7,217285.71,0,1521000,4,22222222,103,103,103,ACUACULTURA                             ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10306,TRUCHAS 40 CP E                    ,BULTO          ,40,222500.0,0,8900000,4,22222222,103,103,103,ACUACULTURA                             ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10400,POTROS  CINTA AZUL                 ,BULTO          ,1,92000.0,0,92000,1,22222222,104,104,104,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,10401,YEGUAS                             ,BULTO          ,6,87000.0,0,522000,2,22222222,104,104,104,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,$500K-$1M,4
2025,Abril,22222222,10403,CORCEL                             ,BULTO          ,4,74000.0,0,296000,3,22222222,104,104,104,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,22222222,10500,TERNERAS LEVANTE                   ,BULTO          ,72,92569.44,0,6665000,10,22222222,105,105,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10501,NOVILLONAS                         ,BULTO          ,81,75296.3,0,6099000,9,22222222,105,105,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10504,CONTELAC 14%                       ,BULTO          ,31,70064.52,0,2172000,8,22222222,105,105,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10506,CONTELAC 18%                       ,BULTO          ,171,76853.8,0,13142000,13,22222222,105,105,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10507,PRELACTANCIA                       ,BULTO          ,14,77000.0,0,1078000,8,22222222,105,105,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10515,NOVILLOS CEBA P                    ,BULTO          ,8,70000.0,0,560000,5,22222222,105,105,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,$500K-$1M,4
2025,Abril,22222222,10603,FORRAJE GANADERIA P TULIPAN        ,BULTO          ,31,63935.48,0,1982000,12,22222222,106,106,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10700,CONEJOS 1K*20                      ,BOLSA          ,1,48000.0,0,48000,1,22222222,107,107,107,CONEJOS                                 ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,10701,CONEJOS                            ,BULTO          ,39,89076.92,0,3474000,16,22222222,107,107,107,CONEJOS                                 ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10809,NUTRISS ADULTOS CARNE Y VEG  30KG  ,BULTO          ,2,160000.0,0,320000,2,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,22222222,10814,NUTRISS ADULTOS POLLO Y VEG 30KG   ,BULTO          ,1,160000.0,0,160000,1,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,10816,RINGO CACHORROS 15KG               ,BULTO          ,1,80000.0,0,80000,1,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,10819,RINGO CACHORROS 30KG               ,BULTO          ,3,165833.33,0,497500,3,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,22222222,10821,RINGO PREMIUM 20KG                 ,BULTO          ,1,107000.0,0,107000,1,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,10822,RINGO PREMIUM 1K*20                ,BOLSA          ,3,12000.0,0,36000,1,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,10824,RINGO PREMIUM 30KG                 ,BULTO          ,63,152603.17,0,9614000,17,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10826,RINGO CROQUETAS 20KG               ,BULTO          ,1,89000.0,0,89000,1,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,10829,RINGO CROQUETAS 30KG               ,BULTO          ,57,125000.0,0,7125000,33,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10830,FILPO CACHORROS 10KG               ,BULTO          ,1,47000.0,0,47000,1,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,10831,FILPO ADULTO 10KG                  ,BULTO          ,4,39500.0,0,158000,3,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,10833,FILPO ADULTO 30KG                  ,BULTO          ,124,103427.42,0,12825000,43,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10842,MIRRINGO 8KG                       ,BULTO          ,53,52283.02,0,2771000,11,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,10844,MIRRINGO 1KG*20                    ,BOLSA          ,5,9500.0,0,47500,4,22222222,108,108,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,20100,SUPER POLLITO INICIACION GRANJA    ,BULTO          ,1,88000.0,0,88000,1,22222222,201,201,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,20102,SUPER POLLITO INICIACION 5K*4      ,BOLSA          ,1,45000.0,0,45000,1,22222222,201,201,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,20103,SUPER POLLITO INICIACION DIS       ,BULTO          ,35,102000.0,0,3570000,1,22222222,201,201,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20106,SUPER POLLO ENGORDE DORADO         ,BULTO          ,66,112000.0,0,7392000,7,22222222,201,201,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20107,SUPER POLLO ENGORDE DIS            ,BULTO          ,97,89958.76,0,8726000,4,22222222,201,201,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20108,POLLO CRIOLLO P                    ,BULTO          ,14,77000.0,0,1078000,4,22222222,201,201,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20109,POLLO CRIOLLO Q                    ,BULTO          ,15,77066.67,0,1156000,5,22222222,201,201,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20200,POLLITA INICIACION                 ,BULTO          ,1,87000.0,0,87000,1,22222222,202,202,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,20202,SUPER HUEVO PREPICO                ,BULTO          ,64,82234.38,0,5263000,22,22222222,202,202,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20203,SUPER HUEVO PREPICO 100            ,BULTO          ,251,87362.55,0,21928000,38,22222222,202,202,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20205,PONEDORA CAMPESINA                 ,BULTO          ,2,72000.0,0,144000,2,22222222,202,202,101,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,20301,CERDITOS INICIACION NARANJA        ,BULTO          ,19,120000.0,0,2280000,10,22222222,203,203,203,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20302,CERDO LEVANTE 1 NARANJA            ,BULTO          ,272,97606.62,0,26549000,40,22222222,203,203,203,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20303,CERDO ENGORDE NARANJA              ,BULTO          ,20,94000.0,0,1880000,9,22222222,203,203,203,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20304,CERDO FINALIZADOR NARANJA          ,BULTO          ,68,95727.94,0,6509500,11,22222222,203,203,203,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20305,CERDA GESTACION NARANJA            ,BULTO          ,59,88000.0,0,5192000,5,22222222,203,203,203,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20306,CERDA LACTANCIA NARANJA            ,BULTO          ,1,97000.0,0,97000,1,22222222,203,203,203,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,20307,CERDO LEVANTE                      ,BULTO          ,89,87168.54,0,7758000,33,22222222,203,203,203,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20308,CERDO ENGORDE                      ,BULTO          ,45,87311.11,0,3929000,16,22222222,203,203,203,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20503,CREMOSA                            ,BULTO          ,107,65000.0,0,6955000,9,22222222,205,205,205,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20505,ITAL LECHE PELLET                  ,BULTO          ,54,60000.0,0,3240000,17,22222222,205,205,205,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20600,EQUINOS                            ,BULTO          ,43,74000.0,0,3182000,6,22222222,206,206,206,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20603,BRIO YEGUAS                        ,BULTO          ,2,85000.0,0,170000,1,22222222,206,206,206,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,20604,BRIO POTROS                        ,BULTO          ,2,90000.0,0,180000,2,22222222,206,206,206,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,20606,FURIA TOTAL                        ,BULTO          ,17,64117.65,0,1090000,10,22222222,206,206,206,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20607,MULTIFORRAJE EQUINO                ,BULTO          ,1,67000.0,0,67000,1,22222222,206,206,206,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,20608,PODIUM                             ,BULTO          ,50,84000.0,0,4200000,3,22222222,206,206,206,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20705,TRUCHA INICIACION 50               ,BULTO          ,30,268933.33,0,8068000,6,22222222,207,207,207,ACUACULTURA                             ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20706,TRUCHA LEVANTE 40                  ,BULTO          ,71,201323.94,0,14294000,10,22222222,207,207,207,ACUACULTURA                             ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,20707,TRUCHA FINALIZACION 40             ,BULTO          ,250,212536.0,0,53134000,24,22222222,207,207,207,ACUACULTURA                             ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,30104,NUTRECAN ADULTOS RAZAS PEQUE 2K*8  ,BOLSA          ,1,23500.0,0,23500,1,22222222,301,301,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,30110,NUTRECAN ADULTOS RM Y RG 8KG       ,BULTO          ,1,74000.0,0,74000,1,22222222,301,301,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,30114,NUTRECAN LIGHT 2K*8                ,BOLSA          ,2,29000.0,0,58000,2,22222222,301,301,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,30126,NUTRECAN CROQUETAS ADULTOS 15KG    ,BULTO          ,3,96666.67,0,290000,3,22222222,301,301,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,22222222,30202,SMART 1K*15                        ,BOLSA          ,1,10000.0,0,10000,1,22222222,302,302,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,30205,Q-IDA CAT 8KG                      ,BULTO          ,1,70000.0,0,70000,1,22222222,302,302,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,30207,NUTRECAT HOME 1.5K*10              ,BOLSA          ,1,25000.0,0,25000,1,22222222,302,302,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,30210,NUTRECAT LIBERTY 1.5K*10           ,BOLSA          ,1,25000.0,0,25000,1,22222222,302,302,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,<$50K,4
2025,Abril,22222222,30211,NUTRECAT LIBERTY 8KG               ,BULTO          ,1,90000.0,0,90000,1,22222222,302,302,108,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,30502,CHANCHITOS GP                      ,BULTO          ,2,103000.0,0,206000,2,22222222,305,305,305,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,30503,CHANCHITOS I.C                     ,BULTO          ,89,97955.06,0,8718000,3,22222222,305,305,305,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,30506,CHANCHITOS PET                     ,BULTO          ,2,97000.0,0,194000,1,22222222,305,305,305,PORCICULTURA                            ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,30600,MANNA EXT                          ,BULTO          ,4,109500.0,0,438000,4,22222222,306,306,306,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,22222222,30601,MANNA P                            ,BULTO          ,3,92000.0,0,276000,3,22222222,306,306,306,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,$250K-$500K,4
2025,Abril,22222222,30603,PREPARTO                           ,BULTO          ,1,82000.0,0,82000,1,22222222,306,306,306,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,30701,CAMPEON DORADO TEXT                ,BULTO          ,2,105000.0,0,210000,1,22222222,307,307,307,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,30702,CAMPEON ADULTOS                    ,BULTO          ,1,83000.0,0,83000,1,22222222,307,307,307,EQUINOS                                 ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,40202,POLLO INICIACION C                 ,BULTO          ,7,87285.71,0,611000,4,22222222,402,402,402,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,$500K-$1M,4
2025,Abril,22222222,40204,Q-IDA SUPLEPOLLO C 1K*20           ,BOLSA          ,8,23875.0,0,191000,2,22222222,402,402,402,AVICULTURA                              ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,50117,FIBRAMIX PELETIZADO                ,BULTO          ,165,74727.27,0,12330000,7,22222222,501,501,105,GANADERIA                               ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,50200,RAZA PERROS 10KG                   ,BULTO          ,3,39666.67,0,119000,3,22222222,502,502,502,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,50201,RAZA PERROS 30KG                   ,BULTO          ,10,101500.0,0,1015000,9,22222222,502,502,502,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,>$1M,4
2025,Abril,22222222,50206,SUPERCAN CROQUETAS 30KG            ,BULTO          ,1,128000.0,0,128000,1,22222222,502,502,502,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$100K-$250K,4
2025,Abril,22222222,50207,SUPERCAN CROQUETAS 4K*5            ,BOLSA          ,4,20750.0,0,83000,3,22222222,502,502,502,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,50218,SUPERCAT DELI CARNE 8KG            ,BULTO          ,1,70000.0,0,70000,1,22222222,502,502,502,MASCOTAS                                ,Boyaca,Sogamoso,2025-Abril,$50K-$100K,4
2025,Abril,22222222,60108,CANBEST TOTAL JERINGA X 5ML        ,JERINGA        ,2,12000.0,0,24000,1,22222222,601,601,610,DROGA VETERINARIA                       ,Boyaca,Sogamoso,2025-Abril,<$50K,4
